gain realized thereon shall 51
gaps between drift tubes 186
gaps between nerve cells 142
gave answers which could 77
gave results which agree 70
gave results which could 149
gave results which would 66
gave several hours every 72
gave solomon cedar trees 160
gene exchange takes place 90
gets excited about anything 128
gift exchange takes place 46
girl friends agree about 111
girl started talking about 46
give advance warning about 123
give answers which would 60
give certain facts about 59
give certain facts which 55
give certain rules which 48
give figures which would 101
give general rules which 41
give general truths while 96
give himself large treats 78
give language first place 81
give repeated small doses 56
give results quite close 40
give results which agree 1200
give results which appear 81
give results which could 86
give results which would 360
give results within about 117
giving congress broad power 94
giving repeated small doses 63
glad skinner could never 56
goal towards which every 198
goal towards which human 142
goal towards which reason 46
goal towards which social 43
gold reserve falls below 137
golf champion tiger woods 73
gone perhaps fifty yards 160
gone perhaps thirty miles 42
gone several times since 44
good because black people 67
good behavior after serving 111
good choices about which 59
good company whose names 62
good conduct which would 41
good conduct while serving 45
good conduct while under 80
good decision about which 41
good effects could never 48
good effects which could 62
good effects which might 308
good effects which would 173
good example which shows 136
good exchange takes place 57
good fellows meeting under 113
good fellows merry about 49
good fellows whose beards 84
good fellows would drink 60
good fortune might await 61
good fortune never comes 91
good fortune often gives 52
good fortune seems flown 71
good fortune which comes 150
good fortune which could 162
good fortune which first 89
good fortune which makes 100
good fortune which might 108
good fortune which never 75
good fortune which often 62
good fortune which saved 119
good fortune which seems 119
good fortune which would 156
good fortune would never 86
good friends again after 61
good friends while working 65
good general shall never 46
good goddamn about anything 66
good guesses about where 52
good hundred yards broad 42
good husband finds method 183
good knights shall never 141
good manners which would 51
good manners would allow 243
good offices easily engage 77
good offices which might 74
good pleasure might elect 77
good posture while sitting 282
good posture while walking 47
good private tutor would 50
good quality drawing paper 315
good quality fresh water 73
good quality paper stock 42
good quality paper which 48
good quality tracing paper 463
good quality under heaven 82
good quality which could 65
good quality white paper 2188
good quality would cause 50
good quality writing paper 105
good rainbow trout fishing 125
good results might ensue 128
good results which could 79
good results which might 182
good results which would 172
good results while others 47
good results would ensue 74
good society which would 48
good soldier never looks 53
good soldier never tries 43
good spirits about trade 75
good spirits until after 43
good stories about people 58
good stories about today 848
good stories about whaling 127
good tangible reason could 48
good thoughts about people 53
good vantage point where 51
gory horrors which shall 41
gray flannel shirt stuck 44
gray himself while nolan 138
great actress ellen terry 110
great admiral which knows 122
great advance which marks 70
great alluvial plain which 179
great anxiety about money 41
great arterial trunk which 54
great artists whose names 85
great artists whose works 232
great beeches stood apart 41
great benefit which might 51
great benefit which would 270
great benefit would arise 172
great buffalo herds either 45
great buildings which stand 44
great buildings whose ruins 40
great burdens under which 85
great caravan route which 119
great catholic house which 80
great catholic league which 47
great central chain which 51
great central negro state 49
great central plain which 81
great central point round 59
great central ridge which 50
great central tower which 56
great charles shall rouse 46
great classic blues singers 46
great coaches under which 46
great compact nation would 42
great company stood round 190
great complex which makes 49
great concern today about 49
great contest arose about 46
great contest which raged 164
great contest which spoke 62
great contest which still 1379
great contest would begin 78
great country house where 61
great country house which 47
great creative force which 61
great creative power which 53
great current which flows 59
great dilemma which faces 42
great ditches round about 79
great divines whose works 221
great dynamic force which 52
great european power which 233
great european power would 47
great european taste which 49
great european witch craze 43
great evident change since 44
great expense which henry 49
great expense which would 255
great figures whose lives 150
great general truths which 68
great general whose sword 43
great granite block which 62
great granite chain which 76
great impelling force which 51
great impulse which drove 81
great increase takes place 115
great increase under james 62
great liberal party which 105
great liberty unite often 98
great machine whose voice 43
great masters while still 46
great masters whose names 53
great masters whose works 324
great miracle takes place 46
great miracle which still 47
great musical beauty which 49
great mystery about pulling 42
great mystery which human 50
great mystery which still 45
great national asset which 72
great national crime which 81
great national ideals might 88
great national party which 206
great national trade unions 61
great national unity shall 108
great natural beauty where 63
great natural beauty which 110
great natural force which 77
great northern plain which 41
great numbers after world 72
great numbers every where 44
great numbers still joining 42
great numbers until after 125
great objects which every 192
great objects which first 61
great objects which ought 93
great official which would 50
great outside world where 44
great outside world which 68
great painter cares which 66
great painter whose power 76
great payment every claim 150
great pleasure seize every 51
great position which unity 47
great primary forms which 98
great private banking house 42
great problem about which 43
great problem round which 63
great problem which every 153
great problem which faced 93
great problem which faces 89
great problem which still 65
great quality which makes 43
great quality which rules 151
great question about which 57
great question which arose 116
great question which comes 106
great question which every 69
great question which forms 60
great railway lines which 47
great respect which seems 50
great results which might 65
great results which would 120
great revival which began 58
great revival which swept 82
great rollers breaking white 95
great scruple about letting 89
great soldier nation thinks 72
great spanish fleet under 44
great stumbling block which 89
great subject about which 48
great tempest which drove 72
great temples stand alone 42
great thinkers whose names 47
great treasure which could 71
great treasure which would 68
great trumpet shall sound 80
great trumpet which shall 48
great unknown world which 42
great upheaval which shook 58
great utility which would 54
great variation takes place 53
great vaulted tower where 104
great venture which makes 49
great vessels which carry 41
great vessels which enter 64
great victory which would 53
great western world holds 150
great writers seize truths 68
great writers whose names 68
great writers whose works 340
grew rapidly after about 83
grew rapidly after world 759
grew rapidly until about 73
grew rapidly worse after 101
grew rapidly worse under 53
grew rapidly worse until 114
grew steadily after world 81
grew steadily until about 71
grew steadily weaker until 76
grew steadily worse after 154
grew steadily worse under 49
grew steadily worse until 803
grew stronger after world 55
grid current which flows 148
grip barbell bench press 291
grow certain crops which 43
grow rapidly after world 68
grow rapidly until about 79
grow rapidly until after 87
grow rapidly while others 111
grow steadily worse until 157
guys started talking about 114
